"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21133","Verify password is masked by default","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","14030","Verify ""Welcome Back"" text is displayed","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","30649","Verify ""Password is required"" validation message is displayed","chromium","2026-08-05","broken","2026-08-05","Login Module","login.spec.ts","",""
"","23987","Verify ""Invalid email address"" validation message when Email is left empty","chromium","2026-08-05","failed","2026-08-05","Login Module","login.spec.ts","",""
"","17100","Verify successful Dashboard redirection after login","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","31532","Verify login with invalid credentials","chromium","2026-08-05","broken","2026-08-05","Login Module","login.spec.ts","",""
"","15001","Verify Login page URL","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","14750","Verify Show Password functionality","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","12780","Verify Login page loads successfully","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","9309","Verify Password Eye icon is displayed","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","13361","Verify Hide Password functionality","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","11932","Verify ""Account not found"" toast message is displayed","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","31444","Verify Login button is displayed","chromium","2026-08-05","broken","2026-08-05","Login Module","login.spec.ts","",""
"","11942","Verify Password field is displayed","chromium","2026-08-05","failed","2026-08-05","Login Module","login.spec.ts","",""
"","36390","Verify ""Account not found"" message is displayed for non-existing email","chromium","2026-08-05","broken","2026-08-05","Login Module","login.spec.ts","",""
"","20731","Verify Forgot Password link is displayed","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","41783","Verify validation messages when Email and Password fields are left empty","chromium","2026-08-05","broken","2026-08-05","Login Module","login.spec.ts","",""
"","8805","Verify login with valid credentials","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
"","6464","Verify Email field is displayed","chromium","2026-08-05","passed","2026-08-05","Login Module","login.spec.ts","",""
